,id_crmsociete,csoc_societe,csoc_intervention,csoc_type,csoc_metiers,csoc_web,csoc_tel,csoc_ville,csoc_pays,csoc_date,id_profil,id_societe,id_pole,id_action_previous,id_action_next,id_provenance,csoc_cp
174,367,NEWORCH (ex ORCHESTRA),,1,"Orchestra prémaman, a subi une liquidation judiciaire, New Orch a racheté l'entité. Une échéance reste due à seenovate pour la prestation. Maintenance SPA BO, 4.2, migration en cours potentiellement en 4.3. Outils reporting Qlickview (next decision), BO, Genio et SSIS (microsoft) ETL. Cyber attaque subie avec perte de données. sujet complexe. Contact Franck qui a bon historique, Sebastien (promo JD) a rejoints l'équipe il y a un an. TMA depuis plusieurs années toujours renouvelée.  (1ere partie reliée à l'environnement BO, montée en compétence de l'équipe sur SAP et BI, choix des key users rapports qui vont utilisés des formations)  Marine ( congé mat jusque automne 2022) et Clement sont dans l'équipe de Sebastien sur la partie marketing/ data. sujet analyse prédictive. prestation Qlikview.

CAISSE EPARGNE",,09 69 32 33 01,Saint Aunès,France,2019-06-27T17:05:07+0200,368,1,,,,-1,34130
175,612,OKAIDI (ID GROUP),,1,CAISSE D'EPARGNE,,09 69 39 23 90,ROUBAIX,France,2020-09-07T16:59:06+0200,255,1,,,,11,59100
176,622,VALFRANCE,,1,"Caisse d'Epargne
Ex client. Contact Alain, DSI était frileux avant de transférer chez nous après Synergie. Maintenance PCOE BO, renouvelé par Baptiste. Grégory connait le compte et avait vendu des licences. Client encore assez proche de Synergie, travailler doucement en présentation.",,03 44 53 89 50,SENLIS Cedex,France,2020-09-07T17:47:35+0200,368,1,,,,11,60302
177,594,DARGAUD (Pluriad),Média,1,CAISSE D'EPARGNE,,,PARIS CEDEX 19,France,2020-09-07T15:16:07+0200,255,1,,,,11,75166
178,1025,BOUE GROUP 49,,2,"facturation IDEA informatique
CREDIT AGRICOLE",,,SAUMUR,France,2023-06-22T09:31:28+0200,368,1,20,,,-1,49400
179,626,CENTRE NATIONAL D'ENSEIGNEMENT A DISTANCE (CNED),Secteur public,1,,,,FUTUROSCOPE CHASSENEUIL CEDEX,France,2020-09-22T10:18:46+0200,71,1,,,,12,86963
180,472,TRANSGOURMET INFORMATIQUE,Agroalimentaire,1,CAISSE EPARGNE,,01 46 76 61 61,VALENTON,France,2020-01-24T15:25:45+0100,12,1,,,,-1,94460
181,920,Disgroup,,0,Idea informatique,,,SAINT-SAUVEUR-DES-LANDES,France,2023-04-06T15:16:32+0200,368,1,,,,-1,35133
182,880,CHU Amiens Picardie,Servies hospitaliers,0,,www.chu-amiens.fr,,Amiens Cedex 1,France,2022-11-28T14:47:34+0100,17,1,,,,1,80054
183,935,TOUT FAIRE SA,,1,,,,VERDUN Cedex,France,2023-04-25T13:19:11+0200,17,1,,,,-1,55105
184,662,"Direction de l'animation de la recherche, des études et des statistiques (DARES)",Secteur public,0,,,01 44 38 32 15,Paris,France,2020-12-28T16:21:10+0100,64,1,,,,-1,75015
185,576,ETABLISSEMENT FRANCAIS DU SANG (EFS),,1,caisse d'Epargne,,,DECINES,France,2020-09-07T11:09:44+0200,17,1,,,,12,69153
186,320,BANDAI NAMCO EUROPE,Edition de logiciels,1,BPI,https://fr.bandainamcoent.eu,04 37 64 30 00,Lyon Cedex 09,France,2018-11-28T13:28:50+0100,60,1,,,,10,69258
187,507,TOYOTA Financial Services France,,1,caisse d'epargne,https://www.toyota-financement.fr/index/conditions-generales,01 47 01 60 30,VAUCRESSON,France,2020-06-18T09:50:26+0200,255,1,,,,11,92420
188,311,ISB FRANCE,Bâtiments,1,Ex ASI,https://www.groupe-isb.fr,02 99 85 54 83,BRUZ Cedex,France,2018-11-26T14:14:24+0100,71,1,,,,10,35172
